tag,repetition,mirror,url,ping_ms,timeout_seconds,elapsed_s,success,expected_size,actual_size,expected_sha256,actual_sha256,error
"SC_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","1.0","120.0","0.2385357","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","120.0","1.7449508","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","1.0","120.0","0.0756941","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","120.0","1.0907435","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","2.0","120.0","0.0310641","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","120.0","1.0520414","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SLA_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","1.0","120.0","0.0496201","true","505273","505273","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179",""
"SLA_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","120.0","2.7199253","true","505273","505273","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179",""
"SLA_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","1.0","120.0","0.3865809","true","505273","505273","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179",""
"SLA_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","120.0","2.7258953","true","505273","505273","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179",""
