tag,repetition,mirror,url,ping_ms,timeout_seconds,elapsed_s,success,expected_size,actual_size,expected_sha256,actual_sha256,error
"SC_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","60.0","30.120536292","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 30004 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","60.0","0.137455708","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Failed to connect to zenodo.org port 443 after 128 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","60.0","30.003972333","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 30001 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","60.0","0.001905666","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Failed to connect to zenodo.org port 443 after 0 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","60.0","30.005078","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 30003 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","60.0","0.073761666","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Failed to connect to zenodo.org port 443 after 72 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","60.0","30.004200583","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 30002 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","60.0","0.001893209","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Failed to connect to zenodo.org port 443 after 0 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","60.0","30.0048665","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 30003 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","60.0","0.065893792","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Failed to connect to zenodo.org port 443 after 64 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","60.0","30.004155459","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 30002 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","60.0","0.002395709","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Failed to connect to zenodo.org port 443 after 0 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc"
"ELEV_4X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc","Inf","60.0","30.004889","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Connection timed out after 30003 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc","Inf","60.0","0.065012625","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Failed to connect to zenodo.org port 443 after 63 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc","Inf","60.0","30.003709209","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Connection timed out after 30002 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc","Inf","60.0","0.001355","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Failed to connect to zenodo.org port 443 after 0 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc","Inf","60.0","30.005702541","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Connection timed out after 30003 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc","Inf","60.0","0.058942208","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Failed to connect to zenodo.org port 443 after 57 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc"
"CH_20X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc","Inf","60.0","30.004212125","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Connection timed out after 30002 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc","Inf","60.0","0.001785042","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Failed to connect to zenodo.org port 443 after 0 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc","Inf","60.0","30.00545175","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Connection timed out after 30003 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc","Inf","60.0","0.082591167","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Failed to connect to zenodo.org port 443 after 80 ms: Could not connect to server while requesting https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc","Inf","60.0","30.002867084","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Connection timed out after 30001 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc"
