tag,repetition,mirror,url,resolve_override,elapsed_s,success,expected_size,actual_size,expected_sha256,actual_sha256,note
SC_2X_1Y_V1,1,zenodo,https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc,zenodo.org:443:188.185.48.75,4.976382,True,90987,90987,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,
SC_2X_1Y_V1,2,zenodo,https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc,zenodo.org:443:188.185.48.75,1.586482,True,90987,90987,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,
SC_2X_1Y_V1,3,zenodo,https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc,zenodo.org:443:188.185.48.75,4.259005,True,90987,90987,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,
SLA_2X_1Y_V1,1,zenodo,https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc,zenodo.org:443:188.185.48.75,2.369569,True,505273,505273,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,
SLA_2X_1Y_V1,2,zenodo,https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc,zenodo.org:443:188.185.48.75,5.690938,True,505273,505273,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,
SLA_2X_1Y_V1,3,zenodo,https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc,zenodo.org:443:188.185.48.75,3.766823,True,505273,505273,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,
ELEV_4X_1Y_V1,1,zenodo,https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc,zenodo.org:443:188.185.48.75,9.900928,True,810299,810299,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,
ELEV_4X_1Y_V1,2,zenodo,https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc,zenodo.org:443:188.185.48.75,13.122533,True,810299,810299,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,
ELEV_4X_1Y_V1,3,zenodo,https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc,zenodo.org:443:188.185.48.75,5.617782,True,810299,810299,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,
CH_20X_1Y_V1,1,zenodo,https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc,zenodo.org:443:188.185.48.75,69.780071,True,4207244,4207244,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,
CH_20X_1Y_V1,2,zenodo,https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc,zenodo.org:443:188.185.48.75,89.102091,True,4207244,4207244,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,
CH_20X_1Y_V1,3,zenodo,https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc,zenodo.org:443:188.185.48.75,70.79956,True,4207244,4207244,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,
