tag,repetition,mirror,url,ping_ms,timeout_seconds,elapsed_s,success,expected_size,actual_size,expected_sha256,actual_sha256,error
"SC_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","10.0","10.2929446","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 10012 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","300.0","5.9516928","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","10.0","10.0034691","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 10002 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","300.0","14.1084657","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","10.0","10.0116382","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 10009 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","300.0","6.6389353","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SLA_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","10.0","10.0097054","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 10008 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","300.0","32.3392467","true","505273","505273","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179",""
"SLA_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","10.0","10.0098537","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 10006 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","300.0","44.4179138","true","505273","505273","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179",""
