tag,repetition,mirror,url,ping_ms,elapsed_s,success,expected_size,actual_size,expected_sha256,actual_sha256,error
"SC_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","20.2885612","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 20008 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","4.5511757","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","20.0177762","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 20015 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","8.9007565","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SC_2X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc","Inf","20.0042045","false","90987","0","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","","RequestError: Connection timed out after 20002 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc"
"SC_2X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc","Inf","9.0238963","true","90987","90987","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42","a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42",""
"SLA_2X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","20.0177032","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 20014 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","20.0086538","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20006 milliseconds with 190256 out of 505273 bytes received) while requesting https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","20.018055","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 20015 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","20.0167384","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20014 milliseconds with 212456 out of 505273 bytes received) while requesting https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc","Inf","20.0179578","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: Connection timed out after 20014 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc"
"SLA_2X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc","Inf","20.0114186","false","505273","0","352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20009 milliseconds with 439892 out of 505273 bytes received) while requesting https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc"
"ELEV_4X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc","Inf","20.0166578","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Connection timed out after 20014 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc","Inf","20.0052014","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20000 milliseconds with 419288 out of 810299 bytes received) while requesting https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc","Inf","20.0177548","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Connection timed out after 20014 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc","Inf","20.017019","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20014 milliseconds with 357628 out of 810299 bytes received) while requesting https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc","Inf","20.0048829","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: Connection timed out after 20003 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/ELEV_4X_1Y_V1.nc"
"ELEV_4X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc","Inf","20.0198178","false","810299","0","642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20017 milliseconds with 346072 out of 810299 bytes received) while requesting https://zenodo.org/records/17732092/files/ELEV_4X_1Y_V1.nc"
"CH_20X_1Y_V1","1","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc","Inf","20.009242","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Connection timed out after 20006 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","1","zenodo","https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc","Inf","20.0188057","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20016 milliseconds with 205320 out of 4207244 bytes received) while requesting https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","2","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc","Inf","20.0124879","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Connection timed out after 20010 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","2","zenodo","https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc","Inf","20.0197676","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20016 milliseconds with 506256 out of 4207244 bytes received) while requesting https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","3","ftp","ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc","Inf","20.0170865","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: Connection timed out after 20015 milliseconds while requesting ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc"
"CH_20X_1Y_V1","3","zenodo","https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc","Inf","20.0092676","false","4207244","0","77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4","","RequestError: HTTP/1.1 200 OK (Operation timed out after 20006 milliseconds with 589828 out of 4207244 bytes received) while requesting https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc"
