tag,path,url_count,has_size,has_sha256,integrity_ready
"BIOMASS_ROOT_120X_1Y_V1","public/v0","1","false","false","false"
"BIOMASS_SHOOT_120X_1Y_V2","public/v0","1","false","false","false"
"CHL_20X_7D_V2","public/v0","1","false","false","false"
"CHL_2X_7D_V1","public/v0","2","true","true","true"
"CHL_2X_7D_V1_R1","public/v0","2","false","false","false"
"CHL_2X_7D_V2","public/v0","1","false","false","false"
"CH_20X_1Y_V1","public/v0","2","true","true","true"
"CH_2X_1Y_V2","public/v0","1","false","false","false"
"CI_20X_1M_V3","public/v0","1","false","false","false"
"CI_240X_1Y_V1","public/v0","1","false","false","false"
"CI_2X_1M_V3","public/v0","2","true","true","true"
"CI_2X_1M_V3_R1","public/v0","2","false","false","false"
"CI_2X_1Y_V1","public/v0","2","false","false","false"
"CI_2X_1Y_V1_R1","public/v0","2","false","false","false"
"CI_2X_1Y_V2","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2000_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2001_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2002_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2003_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2004_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2005_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2006_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2007_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2008_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2009_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2010_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2011_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2012_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2013_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2014_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2015_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2016_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2017_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2018_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2019_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2020_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2021_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2022_V1","public/v0","1","false","false","false"
"CLOUD_FRACTION_CERES_EBAF_ED4.2_1X_1M_2023_V1","public/v0","1","false","false","false"
"ELEV_4X_1Y_V1","public/v0","2","true","true","true"
"ELEV_4X_1Y_V1_R1","public/v0","2","false","false","false"
"GPP_MPI_RS_2X_1M_2001_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2002_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2003_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2004_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2005_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2006_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2007_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2008_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2009_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2010_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2011_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2012_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2013_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2014_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2015_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2016_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2017_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2018_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_1M_2019_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2001_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2002_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2003_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2004_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2005_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2006_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2007_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2008_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2009_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2010_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2011_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2012_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2013_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2014_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2015_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2016_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2017_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2018_V1","public/v0","1","false","false","false"
"GPP_MPI_RS_2X_8D_2019_V1","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2000_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2001_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2002_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2003_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2004_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2005_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2006_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2007_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2008_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2009_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2010_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2011_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2012_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2013_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2014_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2015_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2016_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2017_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2018_V2","public/v0","1","false","false","false"
"GPP_VPM_12X_8D_2019_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2000_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2001_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2002_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2003_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2004_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2005_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2006_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2007_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2008_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2009_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2010_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2011_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2012_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2013_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2014_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2015_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2016_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2017_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2018_V2","public/v0","1","false","false","false"
"GPP_VPM_5X_8D_2019_V2","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2000_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2001_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2002_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2003_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2004_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2005_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2006_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2007_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2008_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2009_V1","public/v0","1","false","false","false"
"LAI_MODIS_10X_1M_2010_V1","public/v0","1","false","false","false"
