id,category,status,elapsed_ms,expectation,detail
"D01","dimension","PASS",1961.2342,"2D canonical unchanged",""
"D02","dimension","PASS",760.7947,"3D canonical unchanged",""
"D03","dimension","PASS",17.0868,"2D reordered",""
"D04","dimension","PASS",24.6775,"3D reordered",""
"D05","rejection","PASS",181.0181,"unsupported dimensions rejected",""
"C01","coordinate","PASS",32.2638,"latitude reversal",""
"C02","coordinate","PASS",26.7238,"longitude reversal",""
"C03","coordinate","PASS",53.5852,"0-360 longitude shift",""
"C04","coordinate","PASS",1.8728,"combined transform order",""
"N01","numeric","PASS",255.466,"Float32 output",""
"N02","numeric","PASS",75.3378,"linear scaling",""
"N03","numeric","PASS",101.9305,"limits retain boundaries",""
"N04","numeric","PASS",1.7234,"no scaling unchanged",""
"G01","gapfill","PASS",152.0705,"constant 2D land only",""
"G02","gapfill","PASS",129.0003,"constant 3D per layer",""
"G03","gapfill","PASS",124.0022,"layer nanmean",""
"G04","gapfill","PASS",0.0091,"keep as is",""
"G05","gapfill","PASS",75.5612,"land NaN diagnostic",""
"G06","gapfill","PASS",28.3768,"global NaN diagnostic",""
"G07","gapfill","PASS",46.5997,"integer conversion",""
"G08","rejection","PASS",12.0188,"unknown method named",""
"Y01","yaml","PASS",1628.6754,"minimal YAML drives pipeline",""
"Y02","rejection","PASS",0.3456,"missing GAPFILL rejected before IO",""
"Y03","yaml","PASS",306.8461,"builder output validates",""
"Y04","rejection","PASS",0.2643,"LABEL cardinality rejected",""
"O01","output","PASS",105.0332,"main data structure and values",""
"O02","output","PASS",117.9836,"same-shape std appended",""
"O03","output","PASS",81.1159,"existing output is safely skipped",""
"O04","rejection","PASS",40.4567,"catalog tag conflict rejected",""
"V01","manual","MANUAL",0.0,"two reviewers accept direction plot","requires two recorded human reviewers"
"V02","manual","MANUAL",0.0,"two reviewers reject deliberately reversed plot","requires two recorded human reviewers"
