dataset,repeat,sequence,distribution,source_bytes,transfer_bytes,outer_compression_ratio,package_ms,download_ms,extract_ms,first_read_ms,end_to_end_ms,temporary_bytes,final_bytes,sha256_ok,first_value
LAI_MODIS_2X_8D_2020_V1,5,1,nc,13936426,13936426,0.0,0.0,25.443334,0.0,2.485917,27.931917,13936426,13936426,True,nan
ELEV_4X_1Y_V1,1,2,nc,810299,810299,0.0,0.0,1.455584,0.0,1.636333,3.093792,810299,810299,True,0.0
ELEV_4X_1Y_V1,8,3,nc,810299,810299,0.0,0.0,2.435834,0.0,1.329625,3.766542,810299,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,7,4,tar.gz,13936426,13634795,0.02164335389862504,236.115583,11.893417,65.265625,2.12,79.297292,27571221,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,4,5,tar.gz,13936426,13634795,0.02164335389862504,236.115583,24.966541,65.035875,2.277459,92.299541,27571221,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,1,6,nc,13936426,13936426,0.0,0.0,27.789084,0.0,2.260125,30.051625,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,6,7,tar.gz,13936426,13634795,0.02164335389862504,236.115583,15.240375,68.9845,2.560875,86.817084,27571221,13936426,True,nan
ELEV_4X_1Y_V1,9,8,nc,810299,810299,0.0,0.0,3.146833,0.0,1.85625,5.005333,810299,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,6,9,nc,13936426,13936426,0.0,0.0,22.9045,0.0,2.203834,25.110959,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,5,10,tar.gz,13936426,13634795,0.02164335389862504,236.115583,12.6455,66.883333,2.280125,81.82975,27571221,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,7,11,nc,13936426,13936426,0.0,0.0,25.947375,0.0,2.318,28.268,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,4,12,nc,13936426,13936426,0.0,0.0,12.9305,0.0,2.622625,15.55625,13936426,13936426,True,nan
ELEV_4X_1Y_V1,6,13,nc,810299,810299,0.0,0.0,1.416875,0.0,1.719625,3.138459,810299,810299,True,0.0
ELEV_4X_1Y_V1,3,14,tar.gz,810299,758213,0.06427997566330457,16.303083,1.149083,4.377958,1.370542,6.909208,1568512,810299,True,0.0
ELEV_4X_1Y_V1,7,15,tar.gz,810299,758213,0.06427997566330457,16.303083,1.336084,4.219583,1.220292,6.783584,1568512,810299,True,0.0
