dataset,distribution,metric,n,median,q1,q3,ci95_low,ci95_high
ELEV_4X_1Y_V1,nc,download_ms,10,2.439667,1.68629225,2.6325415000000003,1.455584,2.8206040000000003
ELEV_4X_1Y_V1,nc,extract_ms,10,0.0,0.0,0.0,0.0,0.0
ELEV_4X_1Y_V1,nc,first_read_ms,10,1.4814375000000002,1.31021875,1.6225829999999999,1.30375,1.6393955
ELEV_4X_1Y_V1,nc,end_to_end_ms,10,3.807646,3.27465675,4.20993775,3.138459,4.255542
ELEV_4X_1Y_V1,nc,temporary_bytes,10,810299.0,810299.0,810299.0,810299.0,810299.0
ELEV_4X_1Y_V1,tar.gz,download_ms,10,2.3131665000000003,1.38264625,2.44807325,1.336084,2.4841665
ELEV_4X_1Y_V1,tar.gz,extract_ms,10,4.331958,4.23182275,4.44205225,4.219583,4.4556875
ELEV_4X_1Y_V1,tar.gz,first_read_ms,10,1.4660834999999999,1.2345730000000001,1.602563,1.232792,1.610584
ELEV_4X_1Y_V1,tar.gz,end_to_end_ms,10,8.212125,7.0803329999999995,8.3704795,6.974708,8.387958
ELEV_4X_1Y_V1,tar.gz,temporary_bytes,10,1568512.0,1568512.0,1568512.0,1568512.0,1568512.0
LAI_MODIS_2X_8D_2020_V1,nc,download_ms,10,24.389438,17.3646565,25.686708250000002,15.518042,25.767833
LAI_MODIS_2X_8D_2020_V1,nc,extract_ms,10,0.0,0.0,0.0,0.0,0.0
LAI_MODIS_2X_8D_2020_V1,nc,first_read_ms,10,2.2725625000000003,2.20814625,2.3699375,2.1340000000000003,2.4019585
LAI_MODIS_2X_8D_2020_V1,nc,end_to_end_ms,10,26.596770999999997,19.4534585,28.02476025,17.567625,28.0999585
LAI_MODIS_2X_8D_2020_V1,nc,temporary_bytes,10,13936426.0,13936426.0,13936426.0,13936426.0,13936426.0
LAI_MODIS_2X_8D_2020_V1,tar.gz,download_ms,10,16.794125,12.08143775,22.793937,11.893417,23.467145687499723
LAI_MODIS_2X_8D_2020_V1,tar.gz,extract_ms,10,66.39039600000001,65.6628545,66.79053099999999,65.52883349999999,66.883333
LAI_MODIS_2X_8D_2020_V1,tar.gz,first_read_ms,10,2.1485625,2.0446145000000002,2.26641725,2.037792,2.277459
LAI_MODIS_2X_8D_2020_V1,tar.gz,end_to_end_ms,10,86.4139585,80.97384325,91.013958,80.688541,91.789583
LAI_MODIS_2X_8D_2020_V1,tar.gz,temporary_bytes,10,27571221.0,27571221.0,27571221.0,27571221.0,27571221.0
