dataset,repeat,sequence,distribution,source_bytes,transfer_bytes,outer_compression_ratio,package_ms,download_ms,extract_ms,first_read_ms,end_to_end_ms,temporary_bytes,final_bytes,sha256_ok,first_value
LAI_MODIS_2X_8D_2020_V1,5,1,nc,13936426,13936426,0.0,0.0,26.9738,0.0,21.6571,48.6411,13936426,13936426,True,nan
ELEV_4X_1Y_V1,1,2,nc,810299,810299,0.0,0.0,3.9021,0.0,15.0119,18.9217,810299,810299,True,0.0
ELEV_4X_1Y_V1,8,3,nc,810299,810299,0.0,0.0,3.6048,0.0,15.9898,19.6014,810299,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,7,4,tar.gz,13936426,13634759,0.021645937057320097,453.0151,18.8891,187.5187,15.2196,221.6631,27571185,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,4,5,tar.gz,13936426,13634759,0.021645937057320097,453.0151,18.3919,196.5161,16.0594,230.9928,27571185,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,1,6,nc,13936426,13936426,0.0,0.0,21.2731,0.0,23.248,44.5299,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,6,7,tar.gz,13936426,13634759,0.021645937057320097,453.0151,18.4516,185.0247,17.7425,221.2525,27571185,13936426,True,nan
ELEV_4X_1Y_V1,9,8,nc,810299,810299,0.0,0.0,3.1893,0.0,19.3397,22.5346,810299,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,6,9,nc,13936426,13936426,0.0,0.0,23.889,0.0,16.9734,40.8683,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,5,10,tar.gz,13936426,13634759,0.021645937057320097,453.0151,17.6203,181.2498,15.933,214.8337,27571185,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,7,11,nc,13936426,13936426,0.0,0.0,19.7418,0.0,16.4759,36.2231,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,4,12,nc,13936426,13936426,0.0,0.0,20.5899,0.0,16.498,37.0928,13936426,13936426,True,nan
ELEV_4X_1Y_V1,6,13,nc,810299,810299,0.0,0.0,20.5306,0.0,17.7705,38.3072,810299,810299,True,0.0
ELEV_4X_1Y_V1,3,14,tar.gz,810299,758198,0.0642984873484973,28.8528,3.4819,18.3394,14.5393,36.3891,1568497,810299,True,0.0
ELEV_4X_1Y_V1,7,15,tar.gz,810299,758198,0.0642984873484973,28.8528,3.3198,22.8118,14.2829,40.4383,1568497,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,9,16,nc,13936426,13936426,0.0,0.0,19.1763,0.0,19.4124,38.5939,13936426,13936426,True,nan
ELEV_4X_1Y_V1,5,17,tar.gz,810299,758198,0.0642984873484973,28.8528,4.0619,22.9549,15.4154,42.4586,1568497,810299,True,0.0
ELEV_4X_1Y_V1,3,18,nc,810299,810299,0.0,0.0,3.8287,0.0,17.1668,21.002,810299,810299,True,0.0
ELEV_4X_1Y_V1,6,19,tar.gz,810299,758198,0.0642984873484973,28.8528,4.3367,25.8612,35.8751,66.1095,1568497,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,10,20,tar.gz,13936426,13634759,0.021645937057320097,453.0151,64.0014,241.1408,18.5434,323.7111,27571185,13936426,True,nan
ELEV_4X_1Y_V1,10,21,tar.gz,810299,758198,0.0642984873484973,28.8528,3.3638,20.197,13.905,37.4907,1568497,810299,True,0.0
ELEV_4X_1Y_V1,5,22,nc,810299,810299,0.0,0.0,3.1391,0.0,14.9416,18.0863,810299,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,3,23,nc,13936426,13936426,0.0,0.0,19.9942,0.0,18.179,38.179,13936426,13936426,True,nan
ELEV_4X_1Y_V1,2,24,nc,810299,810299,0.0,0.0,24.1036,0.0,15.2578,39.3668,810299,810299,True,0.0
ELEV_4X_1Y_V1,8,25,tar.gz,810299,758198,0.0642984873484973,28.8528,3.1077,19.6234,14.2063,36.96,1568497,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,1,26,tar.gz,13936426,13634759,0.021645937057320097,453.0151,17.9806,184.9927,19.9336,222.9312,27571185,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,10,27,nc,13936426,13936426,0.0,0.0,18.9232,0.0,19.0908,38.0208,13936426,13936426,True,nan
ELEV_4X_1Y_V1,4,28,nc,810299,810299,0.0,0.0,3.3442,0.0,15.3467,18.697,810299,810299,True,0.0
ELEV_4X_1Y_V1,10,29,nc,810299,810299,0.0,0.0,3.8276,0.0,17.0234,20.8556,810299,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,8,30,nc,13936426,13936426,0.0,0.0,19.6771,0.0,16.402,36.085,13936426,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,3,31,tar.gz,13936426,13634759,0.021645937057320097,453.0151,18.7728,186.6935,29.5252,235.0408,27571185,13936426,True,nan
ELEV_4X_1Y_V1,4,32,tar.gz,810299,758198,0.0642984873484973,28.8528,9.7907,28.1071,16.629,54.5618,1568497,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,2,33,tar.gz,13936426,13634759,0.021645937057320097,453.0151,19.2401,186.5253,18.0943,223.886,27571185,13936426,True,nan
ELEV_4X_1Y_V1,9,34,tar.gz,810299,758198,0.0642984873484973,28.8528,2.9646,20.2878,14.7541,38.0292,1568497,810299,True,0.0
LAI_MODIS_2X_8D_2020_V1,9,35,tar.gz,13936426,13634759,0.021645937057320097,453.0151,17.3897,185.8604,17.5047,220.7828,27571185,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,8,36,tar.gz,13936426,13634759,0.021645937057320097,453.0151,20.6447,182.2642,18.5964,221.5334,27571185,13936426,True,nan
LAI_MODIS_2X_8D_2020_V1,2,37,nc,13936426,13936426,0.0,0.0,18.8802,0.0,18.6943,37.5802,13936426,13936426,True,nan
ELEV_4X_1Y_V1,1,38,tar.gz,810299,758198,0.0642984873484973,28.8528,3.1728,19.6512,17.7168,40.5676,1568497,810299,True,0.0
ELEV_4X_1Y_V1,7,39,nc,810299,810299,0.0,0.0,4.3971,0.0,20.6333,25.039,810299,810299,True,0.0
ELEV_4X_1Y_V1,2,40,tar.gz,810299,758198,0.0642984873484973,28.8528,3.944,22.8939,16.9115,43.7765,1568497,810299,True,0.0
