dataset,distribution,metric,n,median,q1,q3,ci95_low,ci95_high
ELEV_4X_1Y_V1,nc,download_ms,10,3.82815,3.40935,4.27335,3.3442,12.17965
ELEV_4X_1Y_V1,nc,extract_ms,10,0.0,0.0,0.0,0.0,0.0
ELEV_4X_1Y_V1,nc,first_read_ms,10,16.5066,15.280024999999998,17.619574999999998,15.179300000000001,18.25325
ELEV_4X_1Y_V1,nc,end_to_end_ms,10,20.9288,19.091625,24.4129,18.9217,29.654600000000002
ELEV_4X_1Y_V1,nc,temporary_bytes,10,810299.0,810299.0,810299.0,810299.0,810299.0
ELEV_4X_1Y_V1,tar.gz,download_ms,10,3.42285,3.20955,4.032425,3.1728,4.14035
ELEV_4X_1Y_V1,tar.gz,extract_ms,10,21.5498,19.78765,22.93965,19.6512,24.37755
ELEV_4X_1Y_V1,tar.gz,first_read_ms,10,15.08475,14.347000000000001,16.840875,14.2829,17.1729
ELEV_4X_1Y_V1,tar.gz,end_to_end_ms,10,40.50295,37.625325,43.447025,37.4907,47.58833749999966
ELEV_4X_1Y_V1,tar.gz,temporary_bytes,10,1568497.0,1568497.0,1568497.0,1568497.0,1568497.0
LAI_MODIS_2X_8D_2020_V1,nc,download_ms,10,19.868000000000002,19.3015,21.1023,19.1763,21.9416
LAI_MODIS_2X_8D_2020_V1,nc,extract_ms,10,0.0,0.0,0.0,0.0,0.0
LAI_MODIS_2X_8D_2020_V1,nc,first_read_ms,10,18.43665,16.61685,19.332,16.498,20.37395
LAI_MODIS_2X_8D_2020_V1,nc,end_to_end_ms,10,38.099900000000005,37.21465,40.299699999999994,36.901650000000004,41.561899999999994
LAI_MODIS_2X_8D_2020_V1,nc,temporary_bytes,10,13936426.0,13936426.0,13936426.0,13936426.0,13936426.0
LAI_MODIS_2X_8D_2020_V1,tar.gz,download_ms,10,18.6122,18.083425,19.152350000000002,17.9806,19.7669
LAI_MODIS_2X_8D_2020_V1,tar.gz,extract_ms,10,186.19285,185.0007,187.3124,183.64445,191.52069999999998
LAI_MODIS_2X_8D_2020_V1,tar.gz,first_read_ms,10,17.9184,16.420725,18.583149999999996,16.0594,19.2385
LAI_MODIS_2X_8D_2020_V1,tar.gz,end_to_end_ms,10,222.29715,221.322725,229.21609999999998,221.2525,230.9928
LAI_MODIS_2X_8D_2020_V1,tar.gz,temporary_bytes,10,27571185.0,27571185.0,27571185.0,27571185.0,27571185.0
