scenario,repetition,expected_success,actual_success,elapsed_ms,head_requests,get_attempts,fallback_count,before_exists,after_exists,formal_unchanged,output_sha256_ok,stable_cache_preserved,part_files_after,error_has_tag,error_has_all_urls,result_path,error
M01,1,true,true,319.689125,0,m2,0,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M01-1-JiRRZP/public/v0/FAULT_4X_1Y_V1.nc,
M01,2,true,true,11.326542,0,m2,0,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M01-2-JJga9L/public/v0/FAULT_4X_1Y_V1.nc,
M01,3,true,true,4.549667,0,m2,0,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M01-3-Tnm6Nz/public/v0/FAULT_4X_1Y_V1.nc,
M01,4,true,true,4.419875,0,m2,0,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M01-4-Od4Tor/public/v0/FAULT_4X_1Y_V1.nc,
M01,5,true,true,4.737917,0,m2,0,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M01-5-zPJMmY/public/v0/FAULT_4X_1Y_V1.nc,
M02,1,true,true,38.736333,0,m1>m2,1,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M02-1-F6KKbP/public/v0/FAULT_4X_1Y_V1.nc,
M02,2,true,true,5.377958,0,m1>m2,1,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M02-2-VaWluw/public/v0/FAULT_4X_1Y_V1.nc,
M02,3,true,true,5.19175,0,m1>m2,1,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M02-3-fr7Wy0/public/v0/FAULT_4X_1Y_V1.nc,
M02,4,true,true,5.473708,0,m1>m2,1,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M02-4-Dg3M3O/public/v0/FAULT_4X_1Y_V1.nc,
M02,5,true,true,5.75025,0,m1>m2,1,false,true,false,true,true,0,true,true,/Users/haomin/Desktop/code/Emerald/GriddingMachine_Reaserach/论文/experiments/03_03_data/work/M02-5-E0HqdJ/public/v0/FAULT_4X_1Y_V1.nc,
