scenario,repetitions,passed,median_ms,q1_ms,q3_ms,ci95_low_ms,ci95_high_ms
M01,5,5,4.737917,4.549667,11.326542,4.419875,319.689125
M02,5,5,5.473708,5.377958,5.75025,5.19175,38.736333
M03,5,5,4.494917,4.471459,4.909083,4.432375,23.543375
M04,5,5,6.989208,6.906667,7.436333,5.658709,10.871958
M05,5,5,4.81075,4.66275,6.5255,4.571667,19.308541
M06,5,5,2.686167,2.669084,2.768458,2.429041,12.34175
M07,5,5,2.344666,2.210375,2.36475,2.03225,2.488917
M08,5,5,2.517916,2.493625,2.585959,2.29925,2.98525
M09,5,5,6.47475,4.529875,6.644166,4.392167,7.037167
M10,5,5,4.672167,4.577583,6.556334,4.572375,6.935375
M11,5,5,2.764959,2.562333,2.996916,2.549833,3.52175
M12,5,5,1.580583,1.570875,1.590333,1.558625,1.609875
M13,5,5,5.09125,4.673334,5.780166,4.546792,6.27225
