scenario,repetition,expected_success,actual_success,elapsed_ms,head_requests,get_attempts,fallback_count,before_exists,after_exists,formal_unchanged,output_sha256_ok,stable_cache_preserved,part_files_after,error_has_tag,error_has_all_urls,result_path,error
M01,1,true,true,4447.0555,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-1-1nxsbU\public/v0\FAULT_4X_1Y_V1.nc,
M01,2,true,true,92.9516,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-2-yGsWah\public/v0\FAULT_4X_1Y_V1.nc,
M01,3,true,true,74.0148,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-3-ZCtwvs\public/v0\FAULT_4X_1Y_V1.nc,
M01,4,true,true,70.1243,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-4-UazX2D\public/v0\FAULT_4X_1Y_V1.nc,
M01,5,true,true,88.7454,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-5-1fJmmv\public/v0\FAULT_4X_1Y_V1.nc,
M02,1,true,true,110.7538,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-1-0TU1yd\public/v0\FAULT_4X_1Y_V1.nc,
M02,2,true,true,23.4264,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-2-7pb11s\public/v0\FAULT_4X_1Y_V1.nc,
M02,3,true,true,19.8465,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-3-lsXFZZ\public/v0\FAULT_4X_1Y_V1.nc,
M02,4,true,true,23.3476,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-4-Q1qhNy\public/v0\FAULT_4X_1Y_V1.nc,
M02,5,true,true,21.953,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-5-jSv7xC\public/v0\FAULT_4X_1Y_V1.nc,
M03,1,true,true,1630.9758,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-1-1s03Vq\public/v0\FAULT_4X_1Y_V1.nc,
M03,2,true,true,1036.0464,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-2-1Cx45h\public/v0\FAULT_4X_1Y_V1.nc,
M03,3,true,true,1029.2657,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-3-sgvg1G\public/v0\FAULT_4X_1Y_V1.nc,
M03,4,true,true,1031.9411,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-4-XFr7ZI\public/v0\FAULT_4X_1Y_V1.nc,
M03,5,true,true,1035.8691,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-5-Blu8x0\public/v0\FAULT_4X_1Y_V1.nc,
M04,1,true,true,41.5317,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M04-1-Jiepqb\public/v0\FAULT_4X_1Y_V1.nc,
M04,2,true,true,21.047,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M04-2-Ur8eox\public/v0\FAULT_4X_1Y_V1.nc,
M04,3,true,true,23.9263,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M04-3-dko3l6\public/v0\FAULT_4X_1Y_V1.nc,
M04,4,true,true,21.221,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M04-4-jG2qyl\public/v0\FAULT_4X_1Y_V1.nc,
M04,5,true,true,26.868,0,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M04-5-s69NtZ\public/v0\FAULT_4X_1Y_V1.nc,
M05,1,true,true,24.7788,1,m1,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M05-1-X5uVYi\public/v0\FAULT_4X_1Y_V1.nc,
M05,2,true,true,20.8407,1,m1,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M05-2-z5YmJp\public/v0\FAULT_4X_1Y_V1.nc,
M05,3,true,true,21.9866,1,m1,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M05-3-CNkGbY\public/v0\FAULT_4X_1Y_V1.nc,
