scenario,repetitions,passed,median_ms,q1_ms,q3_ms,ci95_low_ms,ci95_high_ms
M01,5,5,88.7454,74.0148,92.9516,70.1243,4447.0555
M02,5,5,23.3476,21.953,23.4264,19.8465,110.7538
M03,5,5,1035.8691,1031.9411,1036.0464,1029.2657,1630.9758
M04,5,5,23.9263,21.221,26.868,21.047,41.5317
M05,5,5,21.552,20.8407,21.9866,18.0908,24.7788
M06,5,5,12.5834,8.8843,15.4095,8.8531,35.8912
M07,5,5,9.5181,9.0847,10.5557,7.6208,31.1354
M08,5,5,6.2215,5.9015,6.3318,5.878300000000001,6.4876
M09,5,5,18.8973,18.2589,21.347,16.7314,21.7493
M10,5,5,33.2232,33.1282,33.7763,32.5681,76.4879
M11,5,5,6.2615,5.9739,6.694,5.8237,7.9573
M12,5,5,3.8729,3.8691,3.9301,3.8264,4.2576
M13,5,5,21.5513,20.7412,22.8786,20.5245,24.3991
