scenario,repetition,expected_success,actual_success,elapsed_ms,head_requests,get_attempts,fallback_count,before_exists,after_exists,formal_unchanged,output_sha256_ok,stable_cache_preserved,part_files_after,error_has_tag,error_has_all_urls,result_path,error
M01,1,true,true,1698.289,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-1-1i6yQT\public/v0\FAULT_4X_1Y_V1.nc,
M01,2,true,true,70.9983,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-2-Cli09M\public/v0\FAULT_4X_1Y_V1.nc,
M01,3,true,true,83.223,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-3-u0Bh65\public/v0\FAULT_4X_1Y_V1.nc,
M01,4,true,true,81.8246,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-4-aLzaZy\public/v0\FAULT_4X_1Y_V1.nc,
M01,5,true,true,82.246,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M01-5-jHkVZu\public/v0\FAULT_4X_1Y_V1.nc,
M02,1,true,true,102.3404,2,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-1-T1chpI\public/v0\FAULT_4X_1Y_V1.nc,
M02,2,true,true,44.1829,2,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-2-5jqVi0\public/v0\FAULT_4X_1Y_V1.nc,
M02,3,true,true,54.029,2,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-3-I1XLQm\public/v0\FAULT_4X_1Y_V1.nc,
M02,4,true,true,48.4965,2,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-4-yLZKPY\public/v0\FAULT_4X_1Y_V1.nc,
M02,5,true,true,52.9812,2,m1>m2,1,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M02-5-hrVUZA\public/v0\FAULT_4X_1Y_V1.nc,
M03,1,true,true,227.9228,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-1-L0JWyW\public/v0\FAULT_4X_1Y_V1.nc,
M03,2,true,true,75.297,2,m2,0,false,true,false,true,true,0,true,true,D:\Emerald\GriddingMachine_Reaserach\论文\experiments\03_03_data\work\M03-2-apGT2D\public/v0\FAULT_4X_1Y_V1.nc,
