scenario,repetitions,passed,median_ms,q1_ms,q3_ms,ci95_low_ms,ci95_high_ms
M01,5,5,82.246,81.8246,83.223,70.9983,1698.289
M02,5,5,52.9812,48.4965,54.029,44.18289999999999,102.3404
M03,5,5,84.3346,80.8309,126.3337,75.297,227.9228
M04,5,5,21.4856,21.1242,52.5019,18.575,54.888
M05,5,5,20.0078,19.4734,20.1529,17.4289,20.3221
M06,5,5,8.9197,7.817,9.8251,7.7556,30.1331
M07,5,5,8.3633,8.3032,9.1818,8.1415,9.9314
M08,5,5,5.7105,5.4222,6.0181,5.2155,6.117
M09,5,5,15.4032,15.2543,17.747,15.1154,26.7229
M10,5,5,30.3198,29.5577,31.8004,28.5463,34.8311
M11,5,5,4.3187,4.1772,4.4675,4.1399,4.5359
M12,5,5,3.7413,3.7069,3.7422,3.6249,4.1999
M13,5,5,16.5989,16.1711,16.6087,15.739,17.4343
