tag,field,record_id,doi,filename,size_bytes,zenodo_md5,sha256,status,content_url
SC_2X_1Y_V1,tag_s_cc,17732092,10.5281/zenodo.17732092,SC_2X_1Y_V1.nc,90987,15357be74ed42ff57ddf35a39092c466,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,verified,https://zenodo.org/api/records/17732092/files/SC_2X_1Y_V1.nc/content
SOIL_VGA_12X_1Y_V1,tag_s_α,17732092,10.5281/zenodo.17732092,SOIL_VGA_12X_1Y_V1.nc,27943068,6a347fd46d3bcb299fa8b1a24d6796f9,6186c2d080ac818c732f0708678fc177eea6cdce9af0ffb3fc7efc48684493c3,verified,https://zenodo.org/api/records/17732092/files/SOIL_VGA_12X_1Y_V1.nc/content
SOIL_VGN_12X_1Y_V1,tag_s_n,17732092,10.5281/zenodo.17732092,SOIL_VGN_12X_1Y_V1.nc,42280208,2704bebcb4dfabe4b4faa73c5ad61fe9,6b3ea92bd5e1e7ea20dbbed25f9360fbbeaec01c752a502dd9e64c22b652dd99,verified,https://zenodo.org/api/records/17732092/files/SOIL_VGN_12X_1Y_V1.nc/content
SOIL_SWCR_12X_1Y_V1,tag_s_Θr,17732092,10.5281/zenodo.17732092,SOIL_SWCR_12X_1Y_V1.nc,33924760,1f45ddac2d2808bad616d48e5c9fdf06,39b55ba85d9bfa2cd0c611d27009269b5d21278a3b850eb5f5c6f8ab9ae36a76,verified,https://zenodo.org/api/records/17732092/files/SOIL_SWCR_12X_1Y_V1.nc/content
SOIL_SWCS_12X_1Y_V1,tag_s_Θs,17732092,10.5281/zenodo.17732092,SOIL_SWCS_12X_1Y_V1.nc,46065259,f4ed22033bb1822cb196413593ca43d1,e65f4af354a0131998e99ca729d1820ed28267f7ea5f18d2fc5ec3b6fec5fa29,verified,https://zenodo.org/api/records/17732092/files/SOIL_SWCS_12X_1Y_V1.nc/content
CH_20X_1Y_V1,tag_p_ch,17732092,10.5281/zenodo.17732092,CH_20X_1Y_V1.nc,4207244,8f2d3237f3614e5bb189c09a357c8242,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,verified,https://zenodo.org/api/records/17732092/files/CH_20X_1Y_V1.nc/content
CHL_2X_7D_V1,tag_p_chl,17732092,10.5281/zenodo.17732092,CHL_2X_7D_V1.nc,7438033,8357366edf406e2008b9cda4f56c9d08,1838b07daed46ebd623def204f3cbf339be160fa6754cb1bc4fed8b61b5b54e2,verified,https://zenodo.org/api/records/17732092/files/CHL_2X_7D_V1.nc/content
CI_2X_1M_V3,tag_p_ci,17732092,10.5281/zenodo.17732092,CI_2X_1M_V3.nc,4130395,d2e8690ff3db7ed9cd7922dd3e205e49,e526292d50a74da52b91c77e00a3ff9d356cdd7b81343207a09b59a1c1367079,verified,https://zenodo.org/api/records/17732092/files/CI_2X_1M_V3.nc/content
LAI_MODIS_2X_8D_2020_V1,tag_p_lai,17732092,10.5281/zenodo.17732092,LAI_MODIS_2X_8D_2020_V1.nc,13936426,163b76c13a923ec70e7bf8968f6bd1db,fda32f694a38d9d3c5244cd5bd739825c7441c918d91e56442a553ab4fa5d0df,verified,https://zenodo.org/api/records/17732092/files/LAI_MODIS_2X_8D_2020_V1.nc/content
SLA_2X_1Y_V1,tag_p_sla,17732092,10.5281/zenodo.17732092,SLA_2X_1Y_V1.nc,505273,0b02c8cdc4060532b7ce729ed2881024,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,verified,https://zenodo.org/api/records/17732092/files/SLA_2X_1Y_V1.nc/content
VCMAX_2X_1Y_V2,tag_p_vcm,17732092,10.5281/zenodo.17732092,VCMAX_2X_1Y_V2.nc,639384,2c8d08248eb018c1609102c506f44b07,52cd1b95b5bf07cc34f900cf9b7c840c8ab8454c7ee76ffc8a80c856f5ff7cd4,verified,https://zenodo.org/api/records/17732092/files/VCMAX_2X_1Y_V2.nc/content
ELEV_4X_1Y_V1,tag_t_ele,17732092,10.5281/zenodo.17732092,ELEV_4X_1Y_V1.nc,810299,749e160f809f56c32cd3fa007e1e005f,642a485fda9517d267a71a63f8cbbb79b924bb19b2ff18a6471c0305b5be6f0f,verified,https://zenodo.org/api/records/17732092/files/ELEV_4X_1Y_V1.nc/content
LM_4X_1Y_V1,tag_t_lm,17709092,10.5281/zenodo.17709092,LM_4X_1Y_V1.nc,1450609,5183beb11b47c10acee0f6f588340cd7,d71fb262797e32c2ea9567b99af25d00dadebd335a01bb1aa8b108df267b393e,verified,https://zenodo.org/api/records/17709092/files/LM_4X_1Y_V1.nc/content
PFT_2X_1Y_V1,tag_t_pft,17732092,10.5281/zenodo.17732092,PFT_2X_1Y_V1.nc,983008,ad0fd204111ae1e45c81d24c6935dde1,e93c21167ae55a611c89b6e046cba9553ffcc54372122f807e4be49146cc7f0c,verified,https://zenodo.org/api/records/17732092/files/PFT_2X_1Y_V1.nc/content
