group,field,tag,catalog_present,size_bytes,sha256,path,url_count,urls
gm2,tag_s_cc,SC_2X_1Y_V1,true,90987,a752c43b9c383890bb221f428554eec4bba3ae1b1ba3b7165340f8acc61f8d42,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SC_2X_1Y_V1.nc | https://zenodo.org/records/17732092/files/SC_2X_1Y_V1.nc
gm2,tag_s_α,SOIL_VGA_12X_1Y_V1,true,27943068,6186c2d080ac818c732f0708678fc177eea6cdce9af0ffb3fc7efc48684493c3,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SOIL_VGA_12X_1Y_V1.nc | https://zenodo.org/records/17732092/files/SOIL_VGA_12X_1Y_V1.nc
gm2,tag_s_n,SOIL_VGN_12X_1Y_V1,true,42280208,6b3ea92bd5e1e7ea20dbbed25f9360fbbeaec01c752a502dd9e64c22b652dd99,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SOIL_VGN_12X_1Y_V1.nc | https://zenodo.org/records/17732092/files/SOIL_VGN_12X_1Y_V1.nc
gm2,tag_s_Θr,SOIL_SWCR_12X_1Y_V1,true,33924760,39b55ba85d9bfa2cd0c611d27009269b5d21278a3b850eb5f5c6f8ab9ae36a76,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SOIL_SWCR_12X_1Y_V1.nc | https://zenodo.org/records/17732092/files/SOIL_SWCR_12X_1Y_V1.nc
gm2,tag_s_Θs,SOIL_SWCS_12X_1Y_V1,true,46065259,e65f4af354a0131998e99ca729d1820ed28267f7ea5f18d2fc5ec3b6fec5fa29,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SOIL_SWCS_12X_1Y_V1.nc | https://zenodo.org/records/17732092/files/SOIL_SWCS_12X_1Y_V1.nc
gm2,tag_p_ch,CH_20X_1Y_V1,true,4207244,77492a5d621103e895ca940208299bdd5b8bc4f93702f6fb4bdbe4476b2745c4,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CH_20X_1Y_V1.nc | https://zenodo.org/records/17732092/files/CH_20X_1Y_V1.nc
gm2,tag_p_chl,CHL_2X_7D_V1,true,7438033,1838b07daed46ebd623def204f3cbf339be160fa6754cb1bc4fed8b61b5b54e2,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CHL_2X_7D_V1.nc | https://zenodo.org/records/17732092/files/CHL_2X_7D_V1.nc
gm2,tag_p_ci,CI_2X_1M_V3,true,4130395,e526292d50a74da52b91c77e00a3ff9d356cdd7b81343207a09b59a1c1367079,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/CI_2X_1M_V3.nc | https://zenodo.org/records/17732092/files/CI_2X_1M_V3.nc
gm2,tag_p_lai,LAI_MODIS_2X_8D_2020_V1,true,13936426,fda32f694a38d9d3c5244cd5bd739825c7441c918d91e56442a553ab4fa5d0df,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/LAI_MODIS_2X_8D_2020_V1.nc | https://zenodo.org/records/17732092/files/LAI_MODIS_2X_8D_2020_V1.nc
gm2,tag_p_sla,SLA_2X_1Y_V1,true,505273,352c864477922925057605b70fc20810b6e738989b5a96e70e4fb8701a0f6179,public/v0,2,ftp://114.214.212.145/GriddingMachine/public/old-gm1-gm2/SLA_2X_1Y_V1.nc | https://zenodo.org/records/17732092/files/SLA_2X_1Y_V1.nc
